Battery,Car_name,Efficiency,Fast_charge,Price,Range,Top_speed,Acceleration
74,Hyundai IONIQ 5 Long Range AWD,192,1010,2098048,385,185,5.1
50.8,Peugeot e-308,169,450,1586471.6,300,170,9.8
95,Tesla Model X Plaid,209,630,4109976.8,455,262,2.6
79,Volvo XC40 Recharge Twin Motor,203,580,2124628,390,180,4.8
54,Hyundai IONIQ 5 Standard Range 2WD,183,720,1555816,295,185,8.5
77,Volkswagen ID.5 Pro,169,680,1735496.8,455,180,6.7
106,Audi Q8 e-tron Sportback 55 quattro,202,660,3102772,525,200,5.6
64.7,BMW iX2 xDrive30,170,550,2002360,380,180,5.6
77,Audi Q4 e-tron 45,183,630,1876548,420,180,6.7
64,Zeekr X Privilege AWD,183,520,1788656.8,350,180,3.8
105.2,BMW iX M60,217,650,4823384,485,250,3.8
50.8,Fiat 600e,167,490,1293205.6,305,150,9
62,Smart #3,175,550,1541285.6,355,180,6.7
70,MG Marvel R,192,400,1665325.6,365,200,7.9
59,Nissan Leaf e+,174,240,1456584,340,157,6.9
79,Polestar 2 Long Range Dual Motor,176,670,2082986,450,205,4.5
25,Dacia Spring Electric 65 Extreme,156,170,870052,160,125,13.7
77,Volkswagen ID.3 Pro S - 4 Seats,169,680,1686766.8,455,160,7.9
108.4,Mercedes EQS SUV 580 4MATIC,224,720,4799780.96,485,210,4.6
96,Kia EV9 99.8 kWh AWD GT-Line,231,720,2919547.2,415,200,5.3
60,Renault Megane E-Tech EV60 130hp,158,530,1665680,380,150,10.5
58,Skoda Enyaq 60,171,460,1566448,340,160,8.7
46.3,Citroen e-C4 X,162,460,1330417.6,285,150,9.7
91,Ford Mustang Mach-E ER RWD,190,420,2073240,480,180,7
112,Lucid Air Grand Touring,168,840,5634960,665,270,3
66,Volvo XC40 Recharge Single Motor,191,420,1683400,345,180,7.3
67,Polestar 2 Standard Range Single Motor,165,480,1799466,405,205,6.4
50.8,Peugeot e-2008 54 kWh,169,480,1419372,300,150,9.1
45.4,ORA Funky Cat 48 kWh,175,240,1381805.6,260,160,8.3
107,Polestar 3 Long Range Dual motor,218,640,3139984,490,210,5
70,MG Marvel R Performance,200,380,1807085.6,350,200,4.9
